header length,13,,,,,,,,,,,
Area,147500.0 32500.0,,,,,,,,,,,
Data Source,Local simulations,,,,,,,,,,,
Members,00000,01113,01554,01649,01843,01935,02123,02242,02305,02335,02491,02868
Scenario,RCP 8.5,,,,,,,,,,,
Software Version,WPS-2.10.0-DP-2.10.0-CV-1.0.10,,,,,,,,,,,
Spatial Representation,5km grid,,,,,,,,,,,
Temporal Average Type,Daily,,,,,,,,,,,
Time Period,Daily,,,,,,,,,,,
Variable,Precipitation rate (mm/day),,,,,,,,,,,
Year Maximum,2081,,,,,,,,,,,
Year Minimum,2061,,,,,,,,,,,
Date,Precipitation rate (mm/day)(HadREM3-RA11M-r001i1p00000),Precipitation rate (mm/day)(HadREM3-RA11M-r001i1p01113),Precipitation rate (mm/day)(HadREM3-RA11M-r001i1p01554),Precipitation rate (mm/day)(HadREM3-RA11M-r001i1p01649),Precipitation rate (mm/day)(HadREM3-RA11M-r001i1p01843),Precipitation rate (mm/day)(HadREM3-RA11M-r001i1p01935),Precipitation rate (mm/day)(HadREM3-RA11M-r001i1p02123),Precipitation rate (mm/day)(HadREM3-RA11M-r001i1p02242),Precipitation rate (mm/day)(HadREM3-RA11M-r001i1p02305),Precipitation rate (mm/day)(HadREM3-RA11M-r001i1p02335),Precipitation rate (mm/day)(HadREM3-RA11M-r001i1p02491),Precipitation rate (mm/day)(HadREM3-RA11M-r001i1p02868)
01/01/2061,0.5169264,9.0167465,1.3480546,0.42303306,7.7789946,2.0153224,0.001425721,2.6897194,2.1101596,0.5584116,8.804501,10.974883
02/01/2061,12.717326,8.115758,15.678931,3.7066793,27.975994,1.598098,16.558752,20.503345,1.8772038,0.2924752,2.5467925,0.96827143
03/01/2061,16.671076,2.20642,1.5289679,1.8402954,15.211934,8.99518,3.6483371,0.000712552,0.39617965,5.8711656e-05,9.651557,0.037777156
04/01/2061,24.949844,2.7055209,1.1201087,0.025748575,5.2852616,9.390036,1.8050973,5.6955447,2.539729,0.004148985,0.5419361,15.135305
05/01/2061,10.70351,8.232673,2.0391724,2.8866913,5.801309,5.5723934,9.143808,7.393505,7.4938645,12.207471,11.14189,10.152379
06/01/2061,5.19565,0.05550877,2.4835048,11.489871,0.3462467,7.8173733,2.1636631,0.005551436,32.929054,1.5529583,7.8637824,13.294663
07/01/2061,30.229538,2.6753852,6.0907574,14.241262,6.1910925,4.9589896,7.6983876,0.73335606,5.076209,0.28864133,5.0598254,8.117067
08/01/2061,1.8709515,0.032620594,19.677618,2.9937189,15.560645,3.9033544,1.3394845,0.518076,2.8539116,4.2230806,3.7041626,5.4479957
09/01/2061,0.21843968,0.30112422,12.250143,18.408966,12.425759,3.0895152,12.488464,17.587696,28.060547,1.4693866,1.8386542,6.708206
10/01/2061,1.9433532,2.1241322,6.8040786,14.769555,0.85485625,6.0361905,5.827029,16.990688,3.814923,0.35825387,47.21251,3.1238456
11/01/2061,0.030822558,11.961995,9.586556,18.45541,37.399498,4.873152,18.878782,10.076273,31.448467,2.0657337,0.6295683,5.02558
12/01/2061,10.035888,6.1203294,0.87464565,1.8423866,2.8079731,1.0853301,9.432317,14.264795,9.241823,1.6805273,9.14525,2.9301147
